locus_name,dex
n1_1,control
n1_2,control
n1_3,control
n1_4,control
n1_5,control
n1_6,control
n1_7,control
n1_8,control
n1_9,control
n1_10,control
n1_11,control
n1_12,control
n1_13,control
n1_14,control
n1_15,control
n1_16,control
n1_17,control
n1_18,control
n1_19,control
n1_20,control
n2_1,treatment
n2_2,treatment
n2_3,treatment
n2_4,treatment
n2_5,treatment
n2_6,treatment
n2_7,treatment
n2_8,treatment
n2_9,treatment
n2_10,treatment
n2_11,treatment
n2_12,treatment
n2_13,treatment
n2_14,treatment
n2_15,treatment
n2_16,treatment
n2_17,treatment
n2_18,treatment
n2_19,treatment
n2_20,treatment
