genes,#R3,#R6,#R12,#R20
15S_rRNA,23,20,15,7
21S_rRNA,25,21,12,10
HRA1,0,17,26,28
ICR1,0,0,0,0
LSR1,3,6,0,0
NME1,6,0,0,0
PWR1,0,0,0,0
Q0010,0,0,0,0
Q0017,0,0,0,0
Q0032,0,0,0,0
Q0045,1,7,16,16
Q0050,21,13,8,2
Q0055,22,10,9,2
Q0060,0,0,0,0
Q0065,0,0,0,0
Q0070,0,0,0,0
Q0075,0,0,0,0
Q0080,0,0,0,0
Q0085,1,0,3,2
Q0092,0,0,0,0
Q0105,0,2,5,4
Q0110,0,0,0,0
Q0115,0,0,0,0
Q0120,0,0,0,0
Q0130,12,11,7,8
Q0140,0,0,0,0
Q0142,0,0,0,0
Q0143,0,0,0,0
Q0144,0,0,0,0
Q0160,1,6,6,6
Q0182,0,0,0,0
Q0250,1,2,5,2
Q0255,0,0,0,0
Q0275,5,7,7,9
Q0297,0,0,0,0
RDN18-1,0,0,0,0
RDN18-2,0,0,0,0
RDN25-1,0,0,0,0
RDN25-2,0,0,0,0
RDN37-1,0,0,0,0
RDN37-2,0,0,0,0
RDN5-1,17,15,5,0
RDN5-2,2,4,0,0
RDN5-3,0,0,0,0
RDN5-4,0,0,0,0
RDN5-5,0,0,0,0
RDN5-6,22,16,12,5
RDN58-1,0,0,0,0
RDN58-2,0,0,0,0
RNA170,10,3,0,0
RPM1,0,0,0,0
RPR1,49,85,85,94
RUF20,2,0,0,0
RUF21,17,6,3,0
RUF22,0,0,0,0
RUF23,2,2,0,0
RUF5-1,0,0,0,0
RUF5-2,0,0,0,0
SCR1,27,24,25,17
SRG1,83,88,98,100
TLC1,0,0,0,0
YAL001C,0,0,0,0
YAL002W,0,0,0,0
YAL003W,25,15,2,0
YAL004W,0,0,0,0
YAL005C,12,4,0,0
YAL007C,0,0,0,0
YAL008W,0,0,0,0
YAL009W,0,0,0,0
YAL010C,0,0,0,0
YAL011W,0,0,0,0
YAL012W,0,0,0,0
YAL013W,0,0,0,0
YAL014C,0,0,0,0
YAL015C,0,0,0,0
YAL016C-A,31,19,1,0
YAL016C-B,29,15,2,0
YAL016W,0,0,0,0
YAL017W,0,0,0,0
YAL018C,0,1,1,0
YAL019W,0,0,0,0
YAL019W-A,0,0,0,0
YAL020C,0,0,0,0
YAL021C,0,0,0,0
YAL022C,0,0,0,0
YAL023C,0,0,0,0
YAL024C,0,0,0,0
YAL025C,72,85,94,98
YAL026C,0,0,0,0
YAL026C-A,31,25,6,1
YAL027W,0,0,0,0
YAL028W,0,0,0,0
YAL029C,0,0,0,0
YAL030W,0,0,0,0
YAL031C,0,0,0,0
YAL031W-A,32,55,45,51
YAL032C,0,0,0,0
YAL033W,0,0,0,0
YAL034C,0,0,0,0
YAL034C-B,2,0,0,0
YAL034W-A,0,0,0,0
YAL035W,0,0,0,0
YAL036C,7,3,0,0
YAL037C-A,20,15,11,3
YAL037C-B,11,3,0,0
YAL037W,4,0,0,0
YAL038W,84,94,99,100
YAL039C,0,0,0,0
YAL040C,0,0,0,0
YAL041W,0,0,0,0
YAL042C-A,0,0,0,0
YAL042W,0,0,0,0
YAL043C,0,0,0,0
YAL044C,56,64,71,91
YAL044W-A,2,0,0,0
YAL045C,3,3,6,1
YAL046C,0,0,0,0
YAL047C,0,0,0,0
YAL047W-A,0,4,10,18
YAL048C,0,0,0,0
YAL049C,0,0,0,0
YAL051W,0,0,0,0
YAL053W,0,0,0,0
YAL054C,2,0,0,0
YAL055W,0,0,0,0
YAL056C-A,0,2,0,0
YAL056W,0,0,0,0
YAL058W,0,0,0,0
YAL059C-A,0,0,0,0
YAL059W,31,26,5,0
YAL060W,1,0,0,0
YAL061W,100,100,100,100
YAL062W,0,0,0,0
YAL063C,0,0,0,0
YAL063C-A,25,67,57,70
YAL064C-A,3,0,0,0
YAL064W,69,97,100,100
YAL064W-B,2,1,0,0
YAL065C,0,0,0,0
YAL066W,0,0,1,0
YAL067C,87,83,88,100
YAL067W-A,0,1,2,0
YAL068C,1,1,0,0
YAL068W-A,0,0,0,0
YAL069W,0,0,0,0
YAR002C-A,0,0,0,0
YAR002W,0,0,0,0
YAR003W,0,0,0,0
YAR007C,0,0,0,0
YAR008W,0,0,0,0
YAR009C,100,100,100,100
YAR010C,0,0,0,0
YAR014C,0,0,0,0
YAR015W,72,92,97,100
YAR018C,0,0,0,0
YAR019C,0,0,0,0
YAR019W-A,0,4,0,0
YAR020C,0,0,0,0
YAR023C,0,0,0,0
YAR027W,0,0,0,0
YAR028W,0,0,0,0
YAR029W,0,0,0,0
YAR030C,0,0,0,0
YAR031W,0,0,0,0
YAR033W,0,0,0,0
YAR035C-A,9,62,96,100
YAR035W,46,46,38,18
YAR042W,0,0,0,0
YAR047C,3,0,0,0
YAR050W,0,0,0,0
YAR053W,73,98,97,100
YAR060C,1,3,2,0
YAR061W,0,4,0,0
YAR062W,5,0,0,0
YAR064W,0,0,0,0
YAR066W,0,0,0,0
YAR068W,27,30,18,4
YAR069C,3,8,25,11
YAR070C,0,17,2,1
YAR071W,100,100,100,100
YAR073W,99,100,100,100
YAR075W,62,61,74,83
YBL001C,0,0,0,0
YBL002W,0,0,0,0
YBL003C,0,0,0,0
YBL004W,0,0,0,0
YBL005W,97,100,100,100
YBL005W-A,0,0,0,0
YBL005W-B,100,100,100,100
YBL006C,0,0,0,0
YBL006W-A,0,0,0,0
YBL007C,0,0,0,0
YBL008W,0,0,0,0
YBL008W-A,0,1,0,0
YBL009W,0,0,0,0
YBL010C,0,0,0,0
YBL011W,0,0,0,0
YBL012C,3,0,0,0
YBL013W,0,0,0,0
YBL014C,0,0,0,0
YBL015W,1,0,0,0
YBL016W,0,0,0,0
YBL017C,0,0,0,0
YBL018C,0,0,0,0
YBL019W,0,0,0,0
YBL020W,0,0,0,0
YBL021C,0,0,0,0
YBL022C,0,0,0,0
YBL023C,0,0,0,0
YBL024W,0,0,0,0
YBL025W,0,0,0,0
YBL026W,0,0,0,0
YBL027W,0,0,0,0
YBL028C,40,34,17,6
YBL029C-A,0,0,0,0
YBL029W,0,0,0,0
YBL030C,0,0,0,0
YBL031W,0,0,0,0
YBL032W,0,0,0,0
YBL033C,0,0,0,0
YBL034C,0,0,0,0
YBL035C,0,0,0,0
YBL036C,0,0,0,0
YBL037W,0,0,0,0
YBL038W,0,0,0,0
YBL039C,75,88,92,100
YBL039C-A,0,0,0,0
YBL039W-B,11,2,0,0
YBL040C,0,0,0,0
YBL041W,0,0,0,0
YBL042C,0,0,0,0
YBL043W,1,0,0,0
YBL044W,100,100,100,100
YBL045C,0,0,0,0
YBL046W,0,0,0,0
YBL047C,0,0,0,0
YBL048W,20,11,0,0
YBL049W,0,0,0,0
YBL050W,0,0,0,0
YBL051C,0,0,0,0
YBL052C,0,0,0,0
YBL053W,1,3,1,0
YBL054W,79,89,98,100
YBL055C,0,0,0,0
YBL056W,0,0,0,0
YBL057C,0,0,0,0
YBL058W,0,0,0,0
YBL059C-A,0,0,0,0
YBL059W,0,0,0,0
YBL060W,0,0,0,0
YBL061C,0,0,0,0
YBL062W,0,4,2,0
YBL063W,0,0,0,0
YBL064C,0,0,0,0
YBL065W,0,0,1,0
YBL066C,0,0,0,0
YBL067C,0,0,0,0
YBL068W,0,0,0,0
YBL068W-A,0,0,0,0
YBL069W,0,0,0,0
YBL070C,0,0,0,0
YBL071C,0,0,0,0
YBL071C-B,2,6,1,0
YBL071W-A,0,0,0,0
YBL072C,0,0,0,0
YBL073W,0,5,14,11
YBL074C,2,0,0,0
YBL075C,0,0,0,0
YBL076C,0,0,0,0
YBL077W,5,0,0,0
YBL078C,0,0,0,0
YBL079W,0,0,0,0
YBL080C,0,0,0,0
YBL081W,17,2,1,0
YBL082C,0,0,0,0
YBL083C,3,6,6,1
YBL084C,0,0,0,0
YBL085W,0,0,0,0
YBL086C,0,0,0,0
YBL087C,0,0,0,0
YBL088C,0,0,0,0
YBL089W,0,0,0,0
YBL090W,0,0,0,0
YBL091C,0,0,0,0
YBL091C-A,0,0,0,0
YBL092W,0,0,0,0
YBL093C,0,0,0,0
YBL094C,0,1,2,6
YBL095W,0,0,0,0
YBL096C,0,13,4,0
YBL097W,0,0,0,0
YBL098W,0,0,0,0
YBL099W,0,0,0,0
YBL100C,6,1,0,0
YBL100W-A,0,0,0,0
YBL100W-B,100,100,100,100
YBL100W-C,1,2,1,0
YBL101C,2,0,0,0
YBL102W,0,0,0,0
YBL103C,0,0,0,0
YBL104C,0,0,0,0
YBL105C,0,0,0,0
YBL106C,0,0,0,0
YBL107C,0,0,0,0
YBL107W-A,0,0,0,0
YBL108C-A,1,0,0,0
YBL108W,16,72,95,100
YBL109W,11,15,8,3
YBL111C,0,0,0,0
YBL112C,0,0,0,0
YBL113C,0,0,0,0
YBL113W-A,0,0,0,0
YBR001C,0,0,0,0
YBR002C,0,0,0,0
YBR003W,0,0,0,0
YBR004C,0,0,0,0
YBR005W,0,0,0,0
YBR006W,0,0,0,0
YBR007C,0,0,0,0
YBR008C,0,0,0,0
YBR009C,0,0,0,0
YBR010W,0,0,0,0
YBR011C,0,0,0,0
YBR012C,8,4,0,0
YBR012W-A,0,0,0,0
YBR012W-B,100,100,100,100
YBR013C,0,0,0,0
YBR014C,0,0,0,0
YBR015C,0,0,0,0
YBR016W,0,0,0,0
YBR017C,0,0,0,0
YBR018C,27,30,20,6
YBR019C,0,0,0,0
YBR020W,0,0,0,0
YBR021W,0,0,0,0
YBR022W,0,0,0,0
YBR023C,0,0,0,0
YBR024W,0,0,0,0
YBR025C,0,0,0,0
YBR026C,0,0,0,0
YBR027C,2,0,0,0
YBR028C,0,0,0,0
YBR029C,0,0,0,0
YBR030W,0,0,0,0
YBR031W,0,0,0,0
YBR032W,1,0,0,0
YBR033W,0,0,0,0
YBR034C,84,92,100,100
YBR035C,0,0,0,0
YBR036C,0,0,0,0
YBR037C,0,0,0,0
YBR038W,0,0,0,0
YBR039W,0,0,0,0
YBR040W,0,0,1,0
YBR041W,0,0,0,0
YBR042C,0,0,0,0
YBR043C,0,0,0,0
YBR044C,0,0,0,0
YBR045C,0,0,0,0
YBR046C,0,0,0,0
YBR047W,3,0,0,0
YBR048W,0,0,0,0
YBR049C,0,0,0,0
YBR050C,9,2,0,0
YBR051W,0,0,0,0
YBR052C,0,0,0,0
YBR053C,0,0,0,0
YBR054W,100,100,100,100
YBR055C,0,0,0,0
YBR056C-B,0,0,0,0
YBR056W,0,0,0,0
YBR056W-A,17,20,23,9
YBR057C,0,0,0,0
YBR058C,0,0,0,0
YBR058C-A,0,0,0,0
YBR059C,0,0,0,0
YBR060C,0,0,0,0
YBR061C,1,0,0,0
YBR062C,0,0,0,0
YBR063C,0,0,0,0
YBR064W,0,0,0,0
YBR065C,0,0,0,0
YBR066C,0,0,0,0
YBR067C,100,100,100,100
YBR068C,2,0,0,0
YBR069C,87,97,100,100
YBR070C,100,100,100,100
YBR071W,0,0,0,0
YBR072C-A,12,65,87,96
YBR072W,8,2,1,0
YBR073W,0,0,0,0
YBR074W,0,0,0,0
YBR076C-A,1,1,0,0
YBR076W,0,0,0,0
