,locus_name,BF,FC,BF_k1_1,BF_k1_2
0,15S_rRNA,-4.342501212959826,-1.1766242195772436,-2.7848985040179515,-5.890882556219416
1,21S_rRNA,-5.636229928890344,0.1257529869395705,-4.703625276055759,-4.825875624936022
2,HRA1,-6.1495188702684,0.6018194046004063,-6.138381027884891,-5.8809049768580826
3,ICR1,-5.014768868598295,0.17976848664413117,-4.1047202648924905,-5.34727688207538
4,LSR1,-3.165394993418338,0.28143470830092143,6.60009304039904,-2.4621892614977474
5,NME1,-5.472373173141889,0.35670762370073283,-5.523860053502241,-5.478683945716511
6,PWR1,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
7,Q0010,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
8,Q0017,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
9,Q0032,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
10,Q0045,-6.814137967463809,0.07130444211574744,-6.352219732063884,-6.2997277111371766
11,Q0050,-5.49986061147877,-0.8721126466443075,-5.317274342305586,-6.031635562318561
12,Q0055,-6.265201190540529,0.5858777986017645,-6.352219732063884,-5.569286036320458
13,Q0060,-6.82500294425556,-0.9286956145487707,-6.352219732063884,-6.62346835374454
14,Q0065,-6.244142510758646,-1.928695722412752,-6.007441047011337,-6.62346835374454
15,Q0070,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
16,Q0075,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
17,Q0080,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
18,Q0085,-6.82500294425556,-0.9286956145487707,-6.696998390921915,-6.62346835374454
19,Q0092,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
20,Q0105,-6.82500294425556,-0.9286956145487707,-6.696998390921915,-6.62346835374454
21,Q0110,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
22,Q0115,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
23,Q0120,-6.803538168354635,1.0713044960477356,-6.696998390921915,-6.2997277111371766
24,Q0130,-6.378742469369584,0.48634206565377747,-6.3067653401323875,-6.063443183411896
25,Q0140,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
26,Q0142,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
27,Q0143,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
28,Q0144,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
29,Q0160,-6.609487612745505,0.07130444758080952,-6.696998390921915,-5.975987039992057
30,Q0182,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
31,Q0250,-6.688934044834489,0.07130444484827848,-6.007441047011337,-6.321309557055465
32,Q0255,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
33,Q0275,-6.678334245324172,0.6562669995014244,-6.352219732063884,-6.34402017822809
34,Q0297,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
35,RDN18-1,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
36,RDN18-2,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
37,RDN25-1,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
38,RDN25-2,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
39,RDN37-1,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
40,RDN37-2,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
41,RDN5-1,-4.42471696214494,-0.44327101888277165,-4.193697676686384,-4.865393720138809
42,RDN5-2,-6.330427743268596,-0.04417280191087934,-6.1615791883853195,-6.063443183411896
43,RDN5-3,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
44,RDN5-4,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
45,RDN5-5,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
46,RDN5-6,-5.488469094130325,0.4686407828700636,-5.873079549822962,-5.6744226431005815
47,RDN58-1,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
48,RDN58-2,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
49,RNA170,-6.065460830644209,0.07130454321953214,-5.796662074573705,-5.474031337671692
50,RPM1,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
51,RPR1,24.67961127040862,1.5806173780690675,-4.0572378791165935,-1.1239313781353573
52,RUF20,-5.253928190940389,-0.1489634771678957,13.80702471413349,-5.364964783644112
53,RUF21,-0.3214479422944716,-1.0579825042583602,10.18475343034106,-5.836597121539743
54,RUF22,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
55,RUF23,-6.047971707350531,0.29369715022621595,-5.101042105488447,-5.9006764900498965
56,RUF5-1,-4.307349645256512,0.14872612242891148,42.62672015796962,1.3526398555592902
57,RUF5-2,-4.837748632010796,0.1446808941953701,19.309779795290176,-2.631553101690846
58,SCR1,1.5153686496526013,0.3618335689495586,-5.212883645486112,0.9087128553829408
59,SRG1,-4.1442724195580976,0.18727554556816503,20.408983252725605,-3.366763332364072
60,TLC1,-4.600302960771603,0.04920379235599289,51.136234844865484,2.73269556605412
61,YAL001C,-5.301922847086389,0.01127666806460228,12.903182193674922,-3.720053364845928
