genes,logFC,logCPM,F,PValue,FDR
YGR234W,-4.11609561262971,8.4922310981546,1614.03324335417,1.49027762320616e-11,8.21972342206608e-08
YHR215W,-4.41893111844086,7.27929694024509,1414.61547732645,2.7065273039401e-11,8.21972342206608e-08
YML123C,-4.65157611149997,9.24969886960743,1275.20472998947,4.32432351889598e-11,8.7553136845914e-08
YAR071W,-4.12073592751071,7.65072887557641,1165.25180640835,6.49918769432017e-11,9.86901651382518e-08
YDR033W,-3.7324243760113,8.92396012980619,959.251543011775,1.56307034805107e-10,1.89881785881244e-07
YIL121W,-2.86811871485684,6.62380250230638,702.512697136615,6.35362094837676e-10,6.43198227340674e-07
YER011W,-4.11185121502996,7.48265469695023,552.021154789064,1.87438052413676e-09,1.6264267576581e-06
YOR290C,-7.00984001648497,6.50670259996532,534.522943409036,2.2000771645786e-09,1.6704085872063e-06
YAR009C,-2.39173737760369,7.23390370767594,496.433849838657,3.01394666901973e-09,1.75219763578362e-06
YER081W,3.06501857803982,9.04080243392306,492.343832523724,3.1275317894636e-09,1.75219763578362e-06
YOR153W,-2.68179322133684,9.73227224601017,490.749398448023,3.17322587975301e-09,1.75219763578362e-06
YDR261C-D,-2.50242275414444,7.55939226084884,470.177314173568,3.8427528255073e-09,1.7672440857971e-06
YML039W,-2.37030650321389,7.65050188955525,459.863396406377,4.24306301206306e-09,1.7672440857971e-06
YPL257W-B,-2.42578449930521,7.41701443606105,450.459001937304,4.65326147885868e-09,1.7672440857971e-06
YPL019C,-2.40146951060068,7.87559480787524,449.586585938899,4.69370170738496e-09,1.7672440857971e-06
YDR365W-B,-2.29270183882368,7.46872245227443,449.572642467345,4.69436047520235e-09,1.7672440857971e-06
YOL103W-B,-2.39652442907477,7.83433785552819,444.34125711632,4.94618858389048e-09,1.7672440857971e-06
YGR027W-B,-2.28354885871798,7.81472950692773,427.191315715779,5.89596302821486e-09,1.98955996852095e-06
YHR214C-B,-2.11370332398318,7.60617266372252,412.752656311316,6.87299444731486e-09,2.04162917335532e-06
YML045W,-2.25353117749089,7.67896777853794,412.097365975544,6.92185013398263e-09,2.04162917335532e-06
YPR158C-D,-2.31078798831378,7.85207063439412,410.292076291773,7.05864547916724e-09,2.04162917335532e-06
YLR157C-B,-2.36417840514364,7.92785066639519,405.880138741816,7.40710135308168e-09,2.04503334630082e-06
YPR158W-B,-2.24243090741915,7.52178754000865,398.475685928811,8.04037730516702e-09,2.10168063819941e-06
YJR027W,-2.38885894121338,7.83873449459454,392.796974198234,8.57120886022013e-09,2.10168063819941e-06
YER160C,-2.13166959261498,7.41529468789408,387.570334743003,9.0980429499443e-09,2.10168063819941e-06
YDR098C-B,-2.10744766378104,7.42312049057939,385.42035641077,9.32617444586788e-09,2.10168063819941e-06
YPR137C-B,-2.1289871438254,7.41661472521098,385.270453098399,9.34234067029701e-09,2.10168063819941e-06
YJR029W,-2.21451967842492,7.75193430617918,378.002755345413,1.01687372740545e-08,2.2058896500931e-06
YDR316W-B,-2.18724681405613,7.48190677819307,370.242385091259,1.1151867811582e-08,2.33573948577756e-06
YPL095C,-1.99393731101445,6.17679293627188,366.620215268692,1.16512224436173e-08,2.35898417075105e-06
YER138C,-2.3570578826545,7.59869567119472,363.282167580512,1.21339019510282e-08,2.37746195001759e-06
YLR035C-A,-2.09475169520827,6.85339032604338,359.686319609445,1.26826032380262e-08,2.37777445376461e-06
YGR038C-B,-2.24521142603662,7.63216837484047,358.198086385281,1.29184321656622e-08,2.37777445376461e-06
YBR012W-B,-1.94983700285911,7.15996321732013,350.074367505828,1.43047894358125e-08,2.5555085597978e-06
YDR077W,-3.46355531855658,11.628564531252,347.620056254375,1.47588282947158e-08,2.56128923034583e-06
YDR210C-D,-1.98267623137038,7.44383095278188,343.901515341372,1.54809183157201e-08,2.56269534379018e-06
YMR050C,-2.26608775704206,7.8647051675797,340.616302071607,1.61549444007954e-08,2.56269534379018e-06
YHR136C,-4.71314500564831,5.93692041716514,339.178743572368,1.64808657022659e-08,2.56269534379018e-06
YBL005W-B,-2.06048371285559,7.46274798616165,337.338148628364,1.6863582916931e-08,2.56269534379018e-06
YNL284C-B,-2.03765460771805,8.00779190080398,337.279842752243,1.68764922212063e-08,2.56269534379018e-06
YMR045C,-2.1755582394641,7.56651041518454,334.508084932524,1.75060475614126e-08,2.5934568997078e-06
YOR142W-B,-2.13336365055236,7.31805554431606,324.029599921223,2.0160526763657e-08,2.9155961800584e-06
YLR227W-B,-2.33544824988588,7.48206881448151,313.416708287395,2.33671070350284e-08,3.30073972397122e-06
YGR161C-D,-2.05487045790198,7.57036805193048,308.75858831249,2.49695418554286e-08,3.44693175522439e-06
YGL028C,-1.76323577583673,6.65195329219284,283.522534965439,3.64107876852521e-08,4.9146472088938e-06
YNL054W-B,-1.92368820167666,7.27844795562032,280.713667335496,3.80479751434979e-08,5.02398697873057e-06
YNL300W,-1.49794010633473,6.56032553805883,274.022492241142,4.23251578124176e-08,5.46985124580052e-06
YFR055W,-2.04830742057482,6.79579889084444,272.306787332196,4.35150052078465e-08,5.50646128400957e-06
YBR092C,-2.78066556466212,7.30282543107686,270.352604731659,4.49203144597471e-08,5.56828551078579e-06
YER124C,-1.75647823785262,6.45946213500683,265.361486541142,4.87687921909151e-08,5.92443287535237e-06
YDR281C,-4.26004727690258,3.27495753514429,258.015218814676,5.72811662641653e-08,6.82207458604981e-06
YPR149W,-2.222139396334,8.49843773546876,251.490330607919,6.17846651181198e-08,7.21692415245115e-06
YKL109W,-2.07721793935415,7.57997703260821,249.528060193869,6.39524737035936e-08,7.32919481652128e-06
YOR273C,-2.26662910030687,7.89851410553181,247.031161373512,6.68465196618474e-08,7.51899556344558e-06
