"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15S_rRNA",11.621037091172,-0.185434409448743,0.630533074274173,-0.294091487051971,0.768687995752013,0.851028986566281
"21S_rRNA",75.7519797065034,-0.212019878194195,0.635509159265091,-0.33362206524195,0.738664765693986,0.830675192680325
"HRA1",2.71697094625869,-1.09773464398042,0.698734721044731,-1.57103205396622,0.11617520348392,0.213682175121392
"ICR1",144.436481336356,0.224169702131673,0.117337866572697,1.91046342224731,0.0560735716373286,0.11698044444938
"LSR1",161.689202282284,-0.255075511070498,0.292746127375399,-0.871319847532621,0.38357953639466,0.527052190661885
"NME1",23.6442021280654,0.369676213737363,0.289711639217497,1.27601436633975,0.201950440678824,0.327372409678397
"PWR1",0,NA,NA,NA,NA,NA
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",0.938252416032633,0.874841010888425,1.29894252427293,0.673502479548206,0.500627671825013,0.638641684661276
"Q0050",7.53981344657261,-0.0591211265602481,0.66504333056059,-0.0888981572229478,0.929162848078287,0.959559997606206
"Q0055",4.24749585964457,0.592666872984646,0.625562104446637,0.947414922949832,0.343427389836907,0.48643771016334
"Q0060",0.0935912322685145,-0.655670697395158,3.11653965008542,-0.210384198826794,0.833367824195764,NA
"Q0065",0.314592442755697,0.793402385734756,1.80534025828914,0.439475263508849,0.660317201955994,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0,NA,NA,NA,NA,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.823549207850139,1.73780406785719,1.86403991394348,0.932278356733667,0.351192689911203,0.494398931954414
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.329950426898378,0.798897099520326,1.78911699143016,0.446531503164426,0.655213361617076,NA
"Q0110",0.0795039846992672,-0.655670697395158,3.11653965008542,-0.210384198826794,0.833367824195764,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.224682100577491,1.25982806842161,2.20375357309282,0.571673749644126,0.567543021573406,NA
"Q0130",3.59117253495654,0.0548607517828006,0.780547264880658,0.0702849836917801,0.943966834225873,0.966089912290146
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",1.2792789242466,-0.589309996985004,1.19846897017741,-0.491719027900879,0.622917984929057,0.741697579021705
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",1.38615566000625,0.790566203050336,1.28158307106318,0.616866920998336,0.537322506991395,0.672060813941816
"Q0255",0.149061692334631,0.787007995225227,3.11653965008542,0.252526225746448,0.800634345588507,NA
"Q0275",1.41718522982593,-0.341911612196151,1.14045508547804,-0.299802786229704,0.764327589929297,0.847779591387649
"Q0297",0,NA,NA,NA,NA,NA
"RDN18-1",0,NA,NA,NA,NA,NA
"RDN18-2",0,NA,NA,NA,NA,NA
"RDN25-1",0,NA,NA,NA,NA,NA
"RDN25-2",0,NA,NA,NA,NA,NA
"RDN37-1",0,NA,NA,NA,NA,NA
"RDN37-2",0,NA,NA,NA,NA,NA
"RDN5-1",53.6570332466599,0.0357468359257597,0.358103446930621,0.0998226524546279,0.920485123813561,0.953902075503162
"RDN5-2",4.08497129208574,-0.398655121765656,0.573540008266059,-0.695078139310421,0.487006333793054,0.625622397239704
"RDN5-3",0,NA,NA,NA,NA,NA
"RDN5-4",0,NA,NA,NA,NA,NA
"RDN5-5",0,NA,NA,NA,NA,NA
"RDN5-6",24.6640155094005,0.20589501799494,0.695413626603899,0.296075616177443,0.767172335071668,0.84977899839788
"RDN58-1",0,NA,NA,NA,NA,NA
"RDN58-2",0,NA,NA,NA,NA,NA
"RNA170",13.9181581564969,0.41090561169804,0.279750465818179,1.46882905269264,0.141879161837522,0.249015489261809
"RPM1",0,NA,NA,NA,NA,NA
"RPR1",54.3884737716044,-1.87493496044353,0.313722314867197,-5.97641567587316,2.28100536121936e-09,2.88693845525536e-08
"RUF20",136.116534266193,0.225782786506554,0.206248148304574,1.09471424767961,0.273641844689116,0.412357962869797
"RUF21",48.9780919096417,0.196452828530997,0.52936530121591,0.371110135250196,0.710555502379678,0.811044310661519
"RUF22",0.314910550575126,-1.09099793739353,1.80078267932016,-0.605846529912988,0.544616668590658,NA
"RUF23",8.67368935695522,0.804231777295002,0.366720570354171,2.19303699412959,0.0283047138281999,0.0678942462652418
"RUF5-1",353.868278226729,-0.0766531971782248,0.157985395504485,-0.485191665555243,0.627540393550011,0.743963236249966
"RUF5-2",226.971101813281,-0.0289634282242947,0.15543664900654,-0.186335902178874,0.852181354589693,0.908693990100935
"SCR1",266.138774741427,-0.322743519306437,0.544047383741234,-0.593226856615019,0.553029341450142,0.68507899258355
"SRG1",220.263503941911,-1.18501602952844,0.212073171046662,-5.5877696536527,2.3000444566052e-08,2.56624249523768e-07
"TLC1",1565.1380829939,0.191765240183257,0.0970708871546645,1.9755175398543,0.0482094461378208,0.103818774602479
"YAL001C",566.732576873899,0.326841748002155,0.0873854700821248,3.7402298997189,0.000183852017351748,0.000916341800769029
"YAL002W",500.291115953801,-0.204340794221646,0.0905871835506221,-2.25573625553174,0.0240871535621533,0.0593537707731086
"YAL003W",8623.14867704204,-0.87000340649914,0.123116948177858,-7.06647963075166,1.58913486270664e-12,2.81686970018484e-11
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",11642.204235274,-0.83159700585268,0.147605434967626,-5.63391860221863,1.76160191408629e-08,2.00275914163534e-07
"YAL007C",1112.9237656755,0.176259528636548,0.074777968329716,2.35710507484468,0.018418034496584,0.0476082004980301
"YAL008W",454.14651752882,0.0574849233629432,0.119665504023564,0.480380071366463,0.630957162221517,0.747356121373932
