"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15S_rRNA",16.9947944123459,-0.136617752472871,0.34070294623607,-0.400987881032911,0.688429046464793,0.731392334849921
"21S_rRNA",102.643528210811,-0.243674790159443,0.289560602269229,-0.841532958039912,0.40004942941157,0.454886923451471
"HRA1",2.55064872340489,-0.851126005034538,0.230476663921526,-3.69289450199754,0.000221716017355806,0.000365107577013807
"ICR1",142.96182189378,0.229845205698026,0.0347771943648882,6.6090784462499,3.86719769160435e-11,9.55694763341562e-11
"LSR1",196.640748716145,-0.214104313414265,0.162418454796462,-1.31822651362233,0.187427832434459,0.226990435586852
"NME1",26.2341324276802,0.0298910141842935,0.134186200313908,0.22275773599944,0.823724063285457,0.853988883559761
"PWR1",0,NA,NA,NA,NA,NA
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",1.74548953512848,0.72173295441393,0.376954716603025,1.91464099698212,0.0555383029966541,0.0727375339798295
"Q0050",9.36425077015168,-0.00742208757980795,0.321706282683574,-0.0230710060055253,0.981593633383988,0.984023320595334
"Q0055",6.32050405565477,0.274159015608379,0.356727191081531,0.76853972016313,0.442166602237733,0.496788031397975
"Q0060",0.248776130425029,-0.258473777629554,0.662663405149243,-0.390052892043045,0.696497436026277,0.738660635711786
"Q0065",0.244461128566852,-0.587935895826221,0.6495318123892,-0.905168745567046,0.365375996921266,0.419688645112265
"Q0070",0.030806352391842,-0.295267798292154,2.91950649962587,-0.101136201727926,0.919442340542132,0.933268541151788
"Q0075",0.123132940575297,-0.711461984605017,1.18180276566223,-0.602014147603,0.547164720103386,0.598638026046688
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.616892953315819,0.400163229055091,0.580081299328021,0.689839906093591,0.49029487009358,0.545037173267768
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.678487185569362,0.603871914245864,0.515678333404866,1.17102440635557,0.241588967002951,0.287526367815958
"Q0110",0.0810461831771134,-0.301507706639446,1.42521709967092,-0.211552125433425,0.832456462240333,0.86226308748679
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.255651651805444,0.525250159441725,0.623414382753793,0.842537762958804,0.399487011295503,0.454397500870567
"Q0130",3.63918067119918,0.44179741457395,0.288062996796421,1.53368332443676,0.12510757813215,0.155790500169986
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",1.3305377998814,-0.252135184829917,0.415993767438011,-0.606103275014786,0.544446176377453,0.59632618440771
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",1.53698505524484,0.107610087207774,0.409598518642875,0.262720889627041,0.792765714632356,0.826623041836101
"Q0255",0.0795136928732656,0.0326209460258362,1.75110815543902,0.0186287442751689,0.985137272196355,0.987144537777893
"Q0275",1.61281162872186,-0.223901979543604,0.464484565152978,-0.482043960857691,0.629774717627705,0.67644289093085
"Q0297",0,NA,NA,NA,NA,NA
"RDN18-1",0,NA,NA,NA,NA,NA
"RDN18-2",0,NA,NA,NA,NA,NA
"RDN25-1",0,NA,NA,NA,NA,NA
"RDN25-2",0,NA,NA,NA,NA,NA
"RDN37-1",0,NA,NA,NA,NA,NA
"RDN37-2",0,NA,NA,NA,NA,NA
"RDN5-1",89.6125458381217,-0.064868828333294,0.23859691519724,-0.271876223880217,0.785717193452651,0.820516134828076
"RDN5-2",4.26171203418186,-0.362583503789902,0.189940074187529,-1.90893630710032,0.0562703086405308,0.0736262020125531
"RDN5-3",0,NA,NA,NA,NA,NA
"RDN5-4",0,NA,NA,NA,NA,NA
"RDN5-5",0,NA,NA,NA,NA,NA
"RDN5-6",44.3734139645753,0.0397008091132252,0.30760409749666,0.129064630270916,0.897306508834166,0.91637261442154
"RDN58-1",0,NA,NA,NA,NA,NA
"RDN58-2",0,NA,NA,NA,NA,NA
"RNA170",15.642595266465,0.504293723920996,0.091556738659294,5.5079913429158,3.62951251324839e-08,7.72224772982544e-08
"RPM1",0,NA,NA,NA,NA,NA
"RPR1",55.3258985346279,-1.3011751697148,0.154829999107078,-8.40389573867354,4.31906179380555e-17,1.39609110095546e-16
"RUF20",127.649753882462,0.194316323965011,0.0916878033575908,2.11932576470569,0.034062945702461,0.0459579426144315
"RUF21",39.4524460719862,0.309582685768011,0.246388314548902,1.25648282604152,0.208940968709487,0.250925967131487
"RUF22",0.163631603175257,-0.580775570564657,0.753097229257032,-0.77118272117084,0.440598634421814,0.495268832325582
"RUF23",7.81079889731592,0.423498420041645,0.124314390065339,3.40667254868126,0.000657599694646296,0.00104853494618799
"RUF5-1",319.823623644281,-0.176961465523632,0.0896525127454732,-1.97385951720095,0.0483977190528349,0.0641174323030149
"RUF5-2",208.527719704648,-0.18102833633009,0.0928905207427336,-1.94883541272698,0.0513150832146226,0.067695793817336
"SCR1",472.012417479586,-0.309732937368746,0.296455936762038,-1.0447857470885,0.296122003721799,0.346557877889612
"SRG1",194.76187335184,-1.20872390713093,0.075187684318271,-16.0760890309426,3.75338888627465e-58,4.09541719207623e-57
"TLC1",1529.70918305959,0.207529909118818,0.0399097854978013,5.19997555813101,1.9931473474886e-07,4.05400871121389e-07
"YAL001C",563.980159050811,0.363780677729433,0.0374481376463406,9.71425284656263,2.62164624178355e-22,1.03084148341974e-21
"YAL002W",486.448012777985,-0.138461834853996,0.0368218840733389,-3.76031369221136,0.000169700422090043,0.000282765587146647
"YAL003W",8651.89372401942,-0.868072431435157,0.042902135130839,-20.2337815772523,4.93677490105892e-91,9.31224525857278e-90
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",11839.7100440113,-0.750480340260603,0.0582297779497202,-12.888256948337,5.24151108417893e-38,3.46664782080422e-37
"YAL007C",1114.14325305111,0.249441184543284,0.024901092719909,10.0172786531512,1.27978212799274e-23,5.27306998876723e-23
"YAL008W",457.591748850013,0.204919184467527,0.0454691005679932,4.50677893135575,6.58191446842302e-06,1.21296790993288e-05
"YAL009W",359.465533707818,0.243116921378621,0.0238851206135529,10.1785929957026,2.47108362371534e-24,1.04762381461085e-23
"YAL010C",341.893044305556,0.0913941201112353,0.0325728567403129,2.80583679963581,0.0050186103358905,0.00740054233510518
"YAL011W",436.320088207284,0.328663474274131,0.0298124962845971,11.024352712253,2.91608786381151e-28,1.40893087314682e-27
"YAL012W",6070.35909399642,0.268884203210692,0.0500009816346933,5.37757848786164,7.549430572159e-08,1.57317885863543e-07
"YAL013W",1315.42205189224,0.312927330679821,0.0439276195791147,7.12370334832807,1.05065051616352e-12,2.80703484819009e-12
"YAL014C",1203.52742404388,0.245806788853389,0.0480892690188758,5.11146860554078,3.19663953168781e-07,6.42594545275053e-07
"YAL015C",508.800486242451,0.488825586645076,0.0325250888068958,15.0291853020686,4.7278461217147e-51,4.41073449159969e-50
"YAL016C-A",24.4184028680179,-0.622827508309403,0.125782649107211,-4.95161703724762,7.35993341253521e-07,1.44615129980893e-06
"YAL016C-B",53.1688695771426,0.775214102447645,0.0880060717621427,8.80864339159285,1.26669457181093e-18,4.34106128766464e-18
"YAL016W",1691.70616727104,-0.0232395319722134,0.013326754059733,-1.74382538073784,0.0811895433360366,0.104075592230239
"YAL017W",1186.05959627774,0.0226315658827063,0.0393375960475845,0.57531644423137,0.565077302095851,0.615497108832453
"YAL018C",2.498329500076,-0.0955325627501735,0.220899989751259,-0.432469747317537,0.665400035266817,0.709505845255077
"YAL019W",642.665198969045,-0.546968779798304,0.0653816407677905,-8.36578546171575,5.97157666010396e-17,1.91051604576281e-16
"YAL019W-A",0.944171728929356,-0.0129671118192261,0.366019173919544,-0.0354274113029841,0.971738927368068,0.97641893095872
"YAL020C",484.349070517173,0.198750326325347,0.0592006855913215,3.35723014590362,0.000787275515877405,0.0012457807232397
"YAL021C",1166.26925246561,-0.29610375907098,0.0347680937592498,-8.51653706186304,1.64395060322635e-17,5.42338279981476e-17
"YAL022C",1139.63974741054,0.110043980740339,0.053076642297492,2.07330335863275,0.0381440563347445,0.0511634186371939
"YAL023C",3802.05303270365,-0.0785828769848688,0.0314121156227416,-2.50167412881852,0.0123607640584652,0.0175146862610687
"YAL024C",262.444188651028,0.219858736021721,0.0384465758657468,5.71855181042532,1.07435759686701e-08,2.3408076121612e-08
"YAL025C",721.632533080209,-1.19437267412088,0.0917804961189144,-13.0133604047357,1.02723511187116e-38,6.95429080160561e-38
"YAL026C",893.608211964107,-0.0181308400007147,0.0299877609377192,-0.604607994520504,0.545439493484868,0.597020998844959
"YAL026C-A",22.7569370864392,0.655417539370036,0.16295014694249,4.0221966759033,5.7657880833367e-05,9.94923582801332e-05
"YAL027W",243.305038196628,-0.0660180865839409,0.0310952929292853,-2.12308939279249,0.0337463617039328,0.0456022964340682
"YAL028W",472.494015103081,0.19267270749784,0.0413979199743188,4.65416396807774,3.25297869172618e-06,6.1360981623383e-06
"YAL029C",1268.73485163078,-0.0328515899816539,0.0324884862457834,-1.0111763820919,0.311932017620714,0.36308570436494
"YAL030W",761.848988909083,0.331523164161315,0.0548301044577641,6.04637119407075,1.48144565780056e-09,3.40218590859136e-09
"YAL031C",525.146202373037,0.244319767603413,0.0297631164539914,8.20880998739124,2.23391424784043e-16,6.95006759890706e-16
"YAL031W-A",10.1403963788634,0.996806177177599,0.148658298769609,6.7053517054063,2.00921845953616e-11,5.05609250508277e-11
"YAL032C",628.66016439664,0.300520484448177,0.0341979470798183,8.78767616508556,1.52685340552277e-18,5.21965526168037e-18
