,genes,BF_21,FC
0,15S_rRNA,-3.7106446307689724,0.2740473451745137
1,21S_rRNA,-1.3026415672217568,0.1471768251107613
2,HRA1,-5.206545360812914,-0.5647869582853633
3,ICR1,76.74612495268393,0.5040483293866579
4,LSR1,0.45101184733318816,0.12024322543121967
5,NME1,-0.11754010572697594,0.3255301807422072
6,PWR1,-8.27371985942778,-0.1381613221304689
7,Q0010,-8.27371985942778,-0.1381613221304689
8,Q0017,-8.27371985942778,-0.1381613221304689
9,Q0032,-8.27371985942778,-0.1381613221304689
10,Q0045,-3.266475407402874,0.9838294032945523
11,Q0050,-3.8321850345705815,0.37295254561494773
12,Q0055,-1.2691536111313015,0.6233270482844617
13,Q0060,-7.492368244874382,0.10284678101203652
14,Q0065,-7.347496481852093,-0.5166729607658507
15,Q0070,-7.867053431605969,0.4468011818802036
16,Q0075,-7.104189324798414,-1.1381613437236129
17,Q0080,-8.27371985942778,-0.1381613221304689
18,Q0085,-6.587941575276958,0.709835635954122
19,Q0092,-8.27371985942778,-0.1381613221304689
20,Q0105,-6.177513372039701,0.8618387440273986
21,Q0110,-7.727889510043404,0.1837667753113293
22,Q0115,-8.27371985942778,-0.1381613221304689
23,Q0120,-6.08729701838896,1.4468012275842363
24,Q0130,-2.5047248359952214,0.7374481248102943
25,Q0140,-8.27371985942778,-0.1381613221304689
26,Q0142,-8.27371985942778,-0.1381613221304689
27,Q0143,-8.27371985942778,-0.1381613221304689
28,Q0144,-8.27371985942778,-0.1381613221304689
29,Q0160,-7.132255414877405,0.05775889725406758
30,Q0182,-8.27371985942778,-0.1381613221304689
31,Q0250,-6.418751106503186,0.4468012578515901
32,Q0255,-6.8893605215160285,1.861838699444329
33,Q0275,-7.060563030819767,0.10976621204276207
34,Q0297,-8.27371985942778,-0.1381613221304689
35,RDN18-1,-8.27371985942778,-0.1381613221304689
36,RDN18-2,-8.27371985942778,-0.1381613221304689
37,RDN25-1,-8.27371985942778,-0.1381613221304689
38,RDN25-2,-8.27371985942778,-0.1381613221304689
39,RDN37-1,-8.27371985942778,-0.1381613221304689
40,RDN37-2,-8.27371985942778,-0.1381613221304689
41,RDN5-1,13.77460092093747,0.3160402254682106
42,RDN5-2,-6.834060330666297,-0.07643237001465317
43,RDN5-3,-8.27371985942778,-0.1381613221304689
44,RDN5-4,-8.27371985942778,-0.1381613221304689
45,RDN5-5,-8.27371985942778,-0.1381613221304689
46,RDN5-6,15.23094259949099,0.469612191268706
47,RDN58-1,-8.27371985942778,-0.1381613221304689
48,RDN58-2,-8.27371985942778,-0.1381613221304689
49,RNA170,15.197424619356996,0.7853781228253592
50,RPM1,-8.27371985942778,-0.1381613221304689
51,RPR1,102.50578093176772,-0.9735074193582004
52,RUF20,58.301953377833975,0.46735184206488956
53,RUF21,24.026870796751105,0.5729096437854948
54,RUF22,-7.3878227165721375,-0.6527345092392582
55,RUF23,2.038113666366991,0.7035362414395055
56,RUF5-1,-1.191578752032124,0.08013320563402185
57,RUF5-2,-3.1393839699836197,0.07767682535876619
58,SCR1,10.530222635089824,0.12560520914248918
59,SRG1,365.7333597284148,-0.9398031480150945
60,TLC1,777.7631235447653,0.4727380960145318
61,YAL001C,510.6503727771691,0.6341299691912399
62,YAL002W,15.606989925090854,0.13835909636099455
63,YAL003W,6673.475967675595,-0.5941326512514147
64,YAL004W,-8.27371985942778,-0.1381613221304689
65,YAL005C,5690.406648175856,-0.4675870052840294
66,YAL007C,680.878652102721,0.5213131707239944
67,YAL008W,250.062831823122,0.49734576379610873
68,YAL009W,211.77799701033044,0.5154173713748484
69,YAL010C,102.39804353161257,0.37145878426668383
70,YAL011W,351.9969809928625,0.5998660019091864
71,YAL012W,4019.976649110938,0.5436704143789074
72,YAL013W,1032.411676193212,0.5924006357081362
73,YAL014C,761.3783091443139,0.5333617533675538
74,YAL015C,679.2321773655809,0.7770751354703227
75,YAL016C-A,-0.9136843915004677,-0.3224081073079006
76,YAL016C-B,126.04525207905961,1.0601298256293576
77,YAL016W,238.45705258854466,0.2511547125994273
78,YAL017W,251.83956848043658,0.30696787673026
79,YAL018C,-6.805246746947656,0.18090717329005399
80,YAL019W,129.3859265812397,-0.3036076610252306
81,YAL019W-A,-7.122325530702478,0.20697418725733627
82,YAL020C,235.78479147840218,0.4713693008556415
83,YAL021C,-4.8787677962731335,-0.017341323730784033
84,YAL022C,379.1950564485603,0.38701278993019383
85,YAL023C,310.35068131066134,0.1908731367045486
86,YAL024C,140.16068546846753,0.49272666434374846
87,YAL025C,1424.5770043408406,-0.9581043744800318
88,YAL026C,126.2156641715399,0.25315840510968995
89,YAL026C-A,34.843921557759785,0.8891676028518741
90,YAL027W,19.256730877943387,0.21310697604795958
91,YAL028W,246.78294958565073,0.4846767421499267
92,YAL029C,143.33466965914874,0.22583140924704267
93,YAL030W,663.3725503298816,0.6276584744258513
94,YAL031C,324.4207388755664,0.5254668625113671
95,YAL031W-A,29.1599996400845,1.2761838952926072
96,YAL032C,479.80493870605534,0.5852423450867021
97,YAL033W,-3.200319953588526,0.06935464838503705
98,YAL034C,169.37353210672646,0.3605177889713357
99,YAL034C-B,-1.9653728856688653,0.24851487743953063
100,YAL034W-A,125.54030381395572,0.6523211094762268
101,YAL035W,175.5183511362792,-0.1338098329321626
102,YAL036C,201.32870592330374,-0.4096213364823724
103,YAL037C-A,1.2340114454806388,-0.3384389074999476
104,YAL037C-B,-0.026306770622794094,-0.11457450704659385
105,YAL037W,83.81350829631022,0.7713080658457676
106,YAL038W,40720.852130163024,-0.9606742204489254
107,YAL039C,452.90847247127584,0.3159851922800299
108,YAL040C,32.60206292241146,0.14299872291387483
109,YAL041W,80.59445849857055,0.2334247986968307
110,YAL042C-A,-7.50985913704996,-0.012630440064955966
111,YAL042W,1235.6627656568733,0.3804998009481923
112,YAL043C,189.93798068673564,0.30762650960394866
113,YAL044C,1603.445665772148,-0.7967605132455361
114,YAL044W-A,67.19698010281316,0.7749314186100112
115,YAL045C,-3.821511271162713,0.715290242191662
116,YAL046C,68.07085643096518,0.3273729754930101
117,YAL047C,78.42644528277306,0.41995918497289797
118,YAL047W-A,-5.152940336739937,1.0253375147002024
119,YAL048C,-2.092161944333331,-0.10862495617881367
