genes,logFC,logCPM,F,PValue,FDR
YIL121W,-2.83399677832156,6.68135527236749,13934.3689104593,2.27596009268329e-99,1.3869700804812e-95
YDR033W,-3.76550359846155,8.92385137171844,11491.2812134517,1.11010649714972e-95,3.38249449681518e-92
YML123C,-4.66970638367896,9.15259385563678,10512.4488146686,5.59372836899216e-94,1.13627268935461e-90
YGR234W,-4.21203733529832,8.46259942854707,9288.98876658701,1.29292678454993e-91,1.96977395626182e-88
YOR290C,-7.55795602754649,6.53080728895008,9462.46067897297,1.69622448396968e-91,2.06735840106225e-88
YHR215W,-4.45886627051839,7.23075423585277,8932.06136589063,7.27947446864614e-91,7.39351956865493e-88
YAR071W,-4.26210173239047,7.58919849281202,8188.40154013666,3.306245752423e-89,2.87832308789511e-86
YER081W,3.15094998234636,9.12584005046035,6943.00614314146,4.57936249547061e-86,3.48832938092474e-83
YPL257W-B,-2.47433282788451,7.3394202413413,6268.71915758229,4.01800242270561e-84,2.72063408488533e-81
YER138C,-2.46335608154167,7.54046057074284,6165.71877348435,8.29569877348764e-84,5.05539883256337e-81
YDR365W-B,-2.35240916414447,7.44390117421444,6048.76241688197,1.91746594292373e-83,1.06227613237975e-80
YOR153W,-2.7606329651735,9.76133248301426,6035.6625341637,2.10795455635303e-83,1.07048958886795e-80
YDR261C-D,-2.58844185124759,7.5300073409238,6003.46665814128,2.66395256142711e-83,1.24877899302591e-80
YJR027W,-2.39440609781566,7.81161536454768,5982.22498465566,3.11046232757585e-83,1.35393981601766e-80
YGR038C-B,-2.26685780308792,7.56480951438623,5969.87545963542,3.40474880526724e-83,1.38323594795324e-80
YML039W,-2.47588210770869,7.57809543506164,5912.64010125766,5.18876311852949e-83,1.97627015276992e-80
YJL012C,-1.41319655675296,8.1584875141706,5883.28938793031,6.44947518091075e-83,2.31194716191001e-80
YML045W,-2.33101622010504,7.60816475810742,5806.37249111186,1.14668529483097e-82,3.88216677038884e-80
YOL103W-B,-2.49870008461301,7.76760852609317,5745.37697023289,1.81941419942185e-82,5.8355316480404e-80
YAR009C,-2.45404708562775,7.18921236495034,5686.77038585023,2.84839671410044e-82,8.67906478786404e-80
YPR137C-B,-2.28475129476403,7.35574374800948,5572.32700800283,6.92430656187432e-82,2.00936781847915e-79
YLR157C-B,-2.44525196010118,7.85537618207178,5563.55259966925,7.41743027709045e-82,2.05462818675406e-79
YPR158C-D,-2.43165435383836,7.77428930926134,5547.3521386678,8.42532365573298e-82,2.23234445034943e-79
YCL064C,-1.3619150735904,8.4956136718999,5335.21645923512,4.62500690825925e-81,1.17436633745549e-78
YLR227W-B,-2.36013929260237,7.4339650402345,5325.7072667723,5.00022038218852e-81,1.21885372036227e-78
YJR029W,-2.31048592256547,7.66457904878733,5219.62805028085,1.20334241943745e-80,2.82044950155839e-78
YDR098C-B,-2.13726839526055,7.33722585052338,5089.8852443048,3.6091479494181e-80,8.14598059398292e-78
YPR158W-B,-2.33061086517912,7.42527068740572,5080.57835350857,3.90916504606548e-80,8.50801849668681e-78
YDR406W,-2.00513913278759,7.42429099223108,5069.7581639188,4.29003216486715e-80,9.01498483196566e-78
YDR316W-B,-2.2897259172234,7.42422173434523,4927.94090954078,1.47862299113731e-79,3.00357616933026e-77
YGR027W-B,-2.38205129570213,7.72691806801527,4712.66076517514,1.03598813291397e-78,2.0365521554767e-76
YMR045C,-2.26407270619836,7.47566533906127,4679.45266951039,1.40979215130901e-78,2.68477292814909e-76
YHR214C-B,-2.18971789071373,7.53231695409803,4669.53728607822,1.54624004585685e-78,2.85538995134898e-76
YPL019C,-2.47414660572465,7.92390084328124,4644.57513848455,1.95282875725535e-78,3.50015836668062e-76
YGR161C-D,-2.07446494489653,7.49626491431092,4635.16729308047,2.13315956068596e-78,3.71413553223435e-76
YBR012W-B,-2.03467484648917,7.09858728500524,4582.63160360874,3.50458473105722e-78,5.93248315307298e-76
YBL005W-B,-2.18725163625594,7.38420463315976,4472.10681155862,1.01439990749462e-77,1.67074406385736e-75
YDR210C-D,-2.09269483514832,7.37266719823362,4422.98248305035,1.64046514557428e-77,2.63078805187623e-75
YNL284C-B,-2.14784483100036,7.92603294649638,4399.13229548918,2.0754917332697e-77,3.24308887757577e-75
YOR142W-B,-2.15304299278718,7.22786490330288,4383.18109471888,2.43106405798604e-77,3.70372609234173e-75
YMR050C,-2.30887526703949,7.78257595407542,4274.27979843671,7.26161671392939e-77,1.0793242013338e-74
YOR306C,-1.3325198373417,6.72936241296321,4005.78127853415,1.21752472788465e-75,1.76657040279263e-73
YER160C,-2.2318525293958,7.32760546736762,3982.23545396867,1.57273342788451e-75,2.22889244407632e-73
YPL095C,-1.97382303554175,6.24502177899842,3811.10147897541,1.05945500133558e-74,1.46734517684978e-72
YER001W,-2.3395983366865,6.26518666493769,3666.26328361021,5.6911282718895e-74,7.70705237530991e-72
YPL025C,3.67308463285646,3.97992646848313,3672.19425318494,6.47636373119698e-74,8.57977403867705e-72
YLR035C-A,-2.096096469855,6.78454842093115,3485.63978269841,5.06553783644027e-73,6.5679548032483e-71
YGL028C,-1.66556277842008,6.57390587146966,3386.73446559454,1.760307301878e-72,2.23485681200927e-70
YDR011W,-1.28079503035892,7.73072617107805,3360.00971777981,2.47934319624606e-72,3.08349335467827e-70
YER124C,-1.78285966525793,6.45227018077502,3339.9515284731,3.21281425717251e-72,3.91577801664186e-70
YNL054W-B,-1.96471616618493,7.18967174014164,3300.99159227099,5.3351020867918e-72,6.374923944492e-70
YOR273C,-2.24599216638998,7.94536859894801,3282.15469253137,6.8320528303039e-72,8.00664037459076e-70
YKL109W,-2.12296643266948,7.61572659728905,3217.13693578979,1.62197950899311e-71,1.86497040147245e-69
YHL047C,-1.82531934306143,7.57047660504351,3214.59007629999,1.67840946257943e-71,1.89411616017761e-69
YER011W,-4.22045247579334,7.51591447010374,3105.04109874391,7.52262224516851e-71,8.33506544764671e-69
YFR055W,-2.04976708988131,6.83672881656615,2912.86028245183,1.17932859028383e-69,1.28336221949815e-67
YDR281C,-3.84300848918469,3.2246703897761,2883.17062859815,2.73833845795741e-69,2.92762009873552e-67
YHR136C,-4.70642543990308,5.73733928887038,2812.10674535358,5.53760916384616e-69,5.81830866284112e-67
