,locus_name,BF,FC,BF_IC_WT,AOTP_WT,BF_IC_Snf2,AOTP_Snf2
0,15S_rRNA,-3.710644630768973,0.2740473451745137,-107.13805561108876,False,53.62744519605968,True
1,21S_rRNA,-1.3026415672217568,0.1471768251107613,362.1155073181198,True,1052.2039680888681,True
2,HRA1,-5.206545360812914,-0.5647869582853633,-240.33865387982206,False,-258.5813652528342,False
3,ICR1,76.74612495268393,0.5040483293866579,-194.0774414095591,False,-196.46726158005134,False
4,LSR1,0.4510118473331881,0.1202432254312196,251.78712495175944,True,478.066413530278,True
5,NME1,-0.1175401057269759,0.3255301807422072,-194.5223087222525,False,-176.11448135284013,False
6,PWR1,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
7,Q0010,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
8,Q0017,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
9,Q0032,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
10,Q0045,-3.266475407402874,0.9838294032945524,-247.81916924848656,False,-244.28852100029866,False
11,Q0050,-3.8321850345705815,0.3729525456149477,-190.8873475505068,False,-114.38870367090253,False
12,Q0055,-1.2691536111313015,0.6233270482844617,-202.2145371941994,False,-142.66268322351902,False
13,Q0060,-7.492368244874382,0.1028467810120365,-264.61328044650077,False,-278.8377425295368,False
14,Q0065,-7.347496481852093,-0.5166729607658507,-263.93958754792527,False,-280.6078606364329,False
15,Q0070,-7.867053431605969,0.4468011818802036,-273.7013432579066,False,-286.7787142577809,False
16,Q0075,-7.104189324798414,-1.1381613437236129,-266.15531593410185,False,-284.9997874469476,False
17,Q0080,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
18,Q0085,-6.587941575276958,0.709835635954122,-258.3623013282016,False,-263.78487946966874,False
19,Q0092,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
20,Q0105,-6.177513372039701,0.8618387440273986,-258.68237511915004,False,-264.01563456763205,False
21,Q0110,-7.727889510043404,0.1837667753113293,-271.1633274079875,False,-284.7156774345869,False
22,Q0115,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
23,Q0120,-6.08729701838896,1.4468012275842363,-268.6014902204846,False,-275.4149119107214,False
24,Q0130,-2.504724835995221,0.7374481248102943,-229.519078383987,False,-231.52669201587102,False
25,Q0140,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
26,Q0142,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
27,Q0143,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
28,Q0144,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
29,Q0160,-7.132255414877405,0.0577588972540675,-245.0097694118349,False,-254.1155810868637,False
30,Q0182,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
31,Q0250,-6.418751106503186,0.4468012578515901,-245.07116665024245,False,-249.99389237522854,False
32,Q0255,-6.8893605215160285,1.861838699444329,-273.78048107719826,False,-281.40528682991135,False
33,Q0275,-7.060563030819767,0.109766212042762,-240.13003211855914,False,-241.12722365439404,False
34,Q0297,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
35,RDN18-1,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
36,RDN18-2,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
37,RDN25-1,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
38,RDN25-2,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
39,RDN37-1,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
40,RDN37-2,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
41,RDN5-1,13.77460092093747,0.3160402254682106,246.9145836109906,True,521.186933099769,True
42,RDN5-2,-6.834060330666297,-0.0764323700146531,-234.46483252052167,False,-249.26098666963478,False
43,RDN5-3,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
44,RDN5-4,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
45,RDN5-5,-8.27371985942778,-0.1381613221304689,-275.3497351689655,False,-289.99174418428976,False
46,RDN5-6,15.23094259949099,0.469612191268706,172.85068631750528,True,347.304031271929,True
