locus_name,dex
n1_1,control
n1_2,control
n1_3,control
n1_4,control
n1_5,control
n1_6,control
n1_7,control
n1_8,control
n1_9,control
n1_10,control
n1_11,control
n1_12,control
n1_13,control
n1_14,control
n1_15,control
n1_16,control
n1_17,control
n1_18,control
n1_19,control
n1_20,control
n1_21,control
n1_22,control
n1_23,control
n1_24,control
n1_25,control
n1_26,control
n1_27,control
n1_28,control
n1_29,control
n1_30,control
n1_31,control
n1_32,control
n1_33,control
n1_34,control
n1_35,control
n1_36,control
n1_37,control
n1_38,control
n1_39,control
n1_40,control
n1_41,control
n1_42,control
n2_1,treatment
n2_2,treatment
n2_3,treatment
n2_4,treatment
n2_5,treatment
n2_6,treatment
n2_7,treatment
n2_8,treatment
n2_9,treatment
n2_10,treatment
n2_11,treatment
n2_12,treatment
n2_13,treatment
n2_14,treatment
n2_15,treatment
n2_16,treatment
n2_17,treatment
n2_18,treatment
n2_19,treatment
n2_20,treatment
n2_21,treatment
n2_22,treatment
n2_23,treatment
n2_24,treatment
n2_25,treatment
n2_26,treatment
n2_27,treatment
n2_28,treatment
n2_29,treatment
n2_30,treatment
n2_31,treatment
n2_32,treatment
n2_33,treatment
n2_34,treatment
n2_35,treatment
n2_36,treatment
n2_37,treatment
n2_38,treatment
n2_39,treatment
n2_40,treatment
n2_41,treatment
n2_42,treatment
n2_43,treatment
n2_44,treatment
