genes,#R3,#R6,#R12,#R20
15S_rRNA,0,0,0,0
21S_rRNA,0,2,0,0
HRA1,0,0,0,0
ICR1,0,0,0,0
LSR1,0,0,0,0
NME1,0,0,0,0
PWR1,0,0,0,0
Q0010,0,0,0,0
Q0017,0,0,0,0
Q0032,0,0,0,0
Q0045,0,0,0,0
Q0050,0,0,0,0
Q0055,0,0,0,0
Q0060,0,0,0,0
Q0065,0,0,0,0
Q0070,0,0,0,0
Q0075,0,0,0,0
Q0080,0,0,0,0
Q0085,0,0,0,0
Q0092,0,0,0,0
Q0105,0,0,0,0
Q0110,0,0,0,0
Q0115,0,0,0,0
Q0120,0,0,0,0
Q0130,0,0,0,0
Q0140,0,0,0,0
Q0142,0,0,0,0
Q0143,0,0,0,0
Q0144,0,0,0,0
Q0160,0,0,0,0
Q0182,0,0,0,0
Q0250,0,0,0,0
Q0255,0,0,0,0
Q0275,0,0,0,0
Q0297,0,0,0,0
RDN18-1,0,0,0,0
RDN18-2,0,0,0,0
RDN25-1,0,0,0,0
RDN25-2,0,0,0,0
RDN37-1,0,0,0,0
RDN37-2,0,0,0,0
RDN5-1,0,0,0,0
RDN5-2,0,0,0,0
RDN5-3,0,0,0,0
RDN5-4,0,0,0,0
RDN5-5,0,0,0,0
RDN5-6,0,0,3,0
RDN58-1,0,0,0,0
RDN58-2,0,0,0,0
RNA170,0,0,1,1
RPM1,0,0,0,0
RPR1,0,0,1,2
RUF20,0,0,0,0
RUF21,12,0,0,0
RUF22,0,0,0,0
RUF23,0,0,0,0
RUF5-1,0,0,0,0
RUF5-2,0,0,0,0
SCR1,0,1,0,0
SRG1,60,35,19,19
TLC1,6,2,0,0
YAL001C,17,7,2,12
YAL002W,0,0,0,0
YAL003W,96,45,33,34
YAL004W,0,0,0,0
YAL005C,6,0,2,9
YAL007C,3,3,2,13
YAL008W,0,3,0,0
YAL009W,8,6,0,5
YAL010C,0,0,0,0
YAL011W,8,2,2,14
YAL012W,1,0,0,1
YAL013W,2,1,0,0
YAL014C,0,8,1,0
YAL015C,6,15,22,25
YAL016C-A,0,1,0,0
YAL016C-B,10,11,7,4
YAL016W,0,0,0,0
YAL017W,0,0,0,0
YAL018C,0,0,0,0
YAL019W,0,7,9,0
YAL019W-A,0,0,0,0
YAL020C,0,0,0,0
YAL021C,7,9,0,2
YAL022C,0,0,0,0
YAL023C,0,0,0,0
YAL024C,17,0,0,1
YAL025C,21,15,16,4
YAL026C,0,0,0,0
YAL026C-A,46,0,0,0
YAL027W,0,0,0,0
YAL028W,0,1,0,0
YAL029C,0,0,0,0
YAL030W,0,2,0,0
YAL031C,6,0,5,0
YAL031W-A,9,4,0,6
YAL032C,0,4,1,4
YAL033W,1,0,0,0
YAL034C,0,0,0,0
YAL034C-B,0,0,0,0
YAL034W-A,0,0,2,19
YAL035W,3,9,5,0
YAL036C,3,12,12,0
YAL037C-A,0,0,0,0
YAL037C-B,0,0,0,0
YAL037W,2,1,0,0
YAL038W,98,56,20,24
YAL039C,0,0,0,0
YAL040C,0,1,0,0
YAL041W,0,0,0,0
YAL042C-A,0,0,0,0
YAL042W,0,0,0,0
YAL043C,0,0,0,0
YAL044C,30,27,10,24
YAL044W-A,0,0,1,0
YAL045C,0,0,0,0
YAL046C,0,0,0,0
YAL047C,0,0,0,0
YAL047W-A,0,0,0,0
YAL048C,0,0,2,3
YAL049C,0,3,5,3
YAL051W,3,0,0,0
YAL053W,4,21,12,3
YAL054C,0,9,8,11
YAL055W,0,7,1,0
YAL056C-A,0,0,0,0
YAL056W,2,5,12,18
YAL058W,0,0,1,0
YAL059C-A,0,0,0,0
YAL059W,0,1,0,0
YAL060W,2,0,0,1
YAL061W,100,100,80,78
YAL062W,0,1,0,0
YAL063C,0,0,0,0
YAL063C-A,0,0,0,0
YAL064C-A,2,1,0,0
YAL064W,9,0,0,0
YAL064W-B,0,0,0,0
YAL065C,0,0,0,0
YAL066W,0,0,0,0
YAL067C,11,38,3,28
YAL067W-A,0,0,0,0
YAL068C,0,0,0,0
YAL068W-A,0,0,0,0
YAL069W,0,0,0,0
YAR002C-A,1,0,0,4
YAR002W,0,0,0,0
YAR003W,0,0,0,1
YAR007C,24,14,16,28
YAR008W,28,16,19,45
YAR009C,100,100,100,100
YAR010C,55,22,10,11
YAR014C,0,0,0,0
YAR015W,16,21,13,17
YAR018C,1,1,1,1
YAR019C,9,0,0,0
YAR019W-A,0,0,0,0
YAR020C,0,0,0,0
YAR023C,0,0,0,0
YAR027W,0,0,0,0
YAR028W,0,0,0,0
YAR029W,0,0,0,0
YAR030C,0,0,0,0
YAR031W,0,0,0,0
YAR033W,0,0,0,0
YAR035C-A,0,0,0,0
YAR035W,30,57,8,18
YAR042W,0,0,0,0
YAR047C,0,0,0,0
YAR050W,9,0,0,0
YAR053W,4,15,15,11
YAR060C,0,0,0,0
YAR061W,0,0,0,0
YAR062W,0,0,0,0
YAR064W,0,0,0,0
YAR066W,0,0,0,0
YAR068W,2,18,22,3
YAR069C,0,0,0,0
YAR070C,0,0,0,0
YAR071W,100,100,100,100
YAR073W,68,57,100,82
YAR075W,93,43,36,18
YBL001C,7,24,28,23
YBL002W,1,0,0,0
YBL003C,39,14,31,12
YBL004W,0,2,0,0
YBL005W,96,87,99,99
YBL005W-A,0,0,0,0
YBL005W-B,100,100,100,100
YBL006C,7,4,0,0
YBL006W-A,0,0,0,0
YBL007C,0,0,0,0
YBL008W,0,0,0,0
YBL008W-A,0,0,0,0
YBL009W,0,3,0,0
YBL010C,3,6,18,21
YBL011W,0,0,0,0
YBL012C,0,0,0,0
YBL013W,0,0,0,0
YBL014C,0,0,0,0
YBL015W,2,21,5,10
YBL016W,30,5,1,1
YBL017C,1,1,0,0
YBL018C,5,0,1,0
YBL019W,2,5,1,0
YBL020W,0,0,0,0
YBL021C,0,0,0,0
YBL022C,0,0,0,1
YBL023C,1,1,1,3
YBL024W,0,18,13,6
YBL025W,0,0,0,0
YBL026W,0,0,0,0
YBL027W,14,3,7,2
YBL028C,1,12,4,0
YBL029C-A,0,0,0,0
YBL029W,0,1,0,0
YBL030C,0,6,1,1
YBL031W,0,0,0,0
YBL032W,0,1,0,0
YBL033C,0,1,0,0
YBL034C,0,0,0,0
YBL035C,0,0,0,0
YBL036C,0,0,0,0
YBL037W,2,3,9,8
YBL038W,0,0,0,0
YBL039C,8,61,19,11
YBL039C-A,0,0,0,0
YBL039W-B,44,19,12,3
YBL040C,1,2,1,0
YBL041W,3,4,19,6
YBL042C,0,0,0,1
YBL043W,0,2,2,1
YBL044W,92,93,82,98
YBL045C,0,0,0,0
YBL046W,0,9,0,0
YBL047C,0,0,0,0
YBL048W,0,0,0,0
YBL049W,2,12,46,12
YBL050W,2,4,5,0
YBL051C,15,5,6,0
YBL052C,0,0,0,0
YBL053W,0,0,0,0
YBL054W,4,11,17,4
YBL055C,9,7,4,9
YBL056W,1,0,3,4
YBL057C,0,0,0,0
YBL058W,0,0,0,0
YBL059C-A,0,0,0,0
YBL059W,0,0,0,0
YBL060W,1,3,2,7
YBL061C,6,9,2,8
YBL062W,0,0,0,0
YBL063W,0,0,0,0
YBL064C,0,0,0,0
YBL065W,0,0,0,0
YBL066C,16,3,9,9
YBL067C,8,0,0,0
YBL068W,5,15,15,9
YBL068W-A,0,0,0,0
YBL069W,6,1,1,4
YBL070C,0,0,0,0
YBL071C,0,0,0,0
YBL071C-B,0,0,0,0
YBL071W-A,0,0,0,0
YBL072C,6,5,21,0
YBL073W,0,0,0,0
YBL074C,4,1,7,2
YBL075C,0,0,0,6
YBL076C,7,7,29,7
YBL077W,0,0,0,0
YBL078C,0,1,1,1
YBL079W,0,5,1,0
YBL080C,1,0,0,0
YBL081W,25,2,4,1
YBL082C,0,0,0,0
YBL083C,0,0,0,0
YBL084C,30,13,76,24
YBL085W,22,19,58,50
YBL086C,2,6,11,2
YBL087C,37,26,10,15
YBL088C,0,0,0,0
YBL089W,0,0,0,0
YBL090W,0,0,0,0
YBL091C,0,0,0,0
YBL091C-A,0,3,2,0
YBL092W,24,2,0,1
YBL093C,0,0,0,0
YBL094C,0,0,0,0
YBL095W,0,21,0,0
YBL096C,0,0,0,0
YBL097W,0,0,0,0
YBL098W,0,0,1,1
YBL099W,0,0,0,0
YBL100C,0,0,0,0
YBL100W-A,0,0,0,0
YBL100W-B,98,99,99,96
YBL100W-C,0,0,0,0
YBL101C,0,0,0,0
YBL102W,0,0,0,0
YBL103C,0,0,0,0
YBL104C,0,0,0,0
YBL105C,1,0,0,0
YBL106C,0,0,1,0
YBL107C,0,0,0,0
YBL107W-A,0,0,0,0
YBL108C-A,0,0,0,0
YBL108W,0,0,0,0
YBL109W,0,0,0,0
YBL111C,0,0,0,0
YBL112C,0,0,0,0
YBL113C,3,2,1,0
YBL113W-A,0,0,0,0
YBR001C,5,4,1,0
YBR002C,0,0,5,0
YBR003W,0,0,0,0
YBR004C,0,0,0,0
YBR005W,0,0,0,0
YBR006W,0,8,1,0
YBR007C,2,9,8,20
YBR008C,9,2,1,7
YBR009C,6,0,0,3
YBR010W,5,1,0,0
YBR011C,0,3,5,1
YBR012C,3,5,12,6
YBR012W-A,0,0,0,0
YBR012W-B,100,100,100,100
YBR013C,0,0,0,0
YBR014C,23,40,50,65
YBR015C,0,0,0,0
YBR016W,0,0,0,0
YBR017C,5,32,28,12
YBR018C,8,9,25,8
YBR019C,0,0,0,0
YBR020W,4,0,4,13
YBR021W,0,0,1,0
YBR022W,18,2,0,8
YBR023C,4,6,6,15
YBR024W,0,0,0,0
YBR025C,49,32,84,33
YBR026C,0,0,0,0
YBR027C,0,0,0,0
YBR028C,0,9,1,1
YBR029C,18,1,0,1
YBR030W,0,2,2,0
YBR031W,13,4,2,1
YBR032W,0,0,0,0
YBR033W,0,0,0,1
YBR034C,53,33,39,19
YBR035C,13,14,17,10
YBR036C,0,0,0,0
YBR037C,0,0,0,0
YBR038W,4,5,6,12
YBR039W,0,5,2,0
YBR040W,0,0,0,0
YBR041W,0,1,0,16
YBR042C,0,0,0,0
YBR043C,11,29,23,36
YBR044C,0,0,0,0
YBR045C,0,0,0,0
YBR046C,0,1,0,0
YBR047W,0,0,0,0
YBR048W,11,9,2,2
YBR049C,0,0,0,0
YBR050C,1,1,0,3
YBR051W,2,0,0,0
YBR052C,0,5,8,0
YBR053C,0,0,0,0
YBR054W,58,55,16,28
YBR055C,10,1,0,10
YBR056C-B,0,0,0,0
YBR056W,0,0,0,0
YBR056W-A,0,0,0,1
YBR057C,1,0,1,0
YBR058C,0,0,0,0
YBR058C-A,3,0,0,0
YBR059C,15,3,18,9
YBR060C,0,0,0,0
YBR061C,22,35,24,10
YBR062C,0,0,0,0
YBR063C,3,0,0,1
YBR064W,0,0,0,0
YBR065C,0,1,4,1
YBR066C,0,0,0,0
YBR067C,100,100,99,94
YBR068C,93,83,59,83
YBR069C,49,85,81,47
YBR070C,100,100,99,100
YBR071W,1,2,2,1
YBR072C-A,0,0,0,0
YBR072W,0,0,0,0
YBR073W,3,2,10,22
YBR074W,0,0,0,0
YBR076C-A,0,1,28,0
YBR076W,0,0,0,0
YBR077C,11,10,30,25
YBR078W,1,0,1,0
YBR079C,7,16,11,5
YBR080C,0,0,0,0
YBR081C,6,0,0,4
YBR082C,0,0,0,0
YBR083W,0,1,0,0
YBR084C-A,1,1,6,1
YBR084W,0,2,1,0
YBR085C-A,0,0,1,0
YBR085W,12,30,46,25
YBR086C,0,0,0,0
YBR087W,0,0,0,0
YBR088C,0,0,0,0
YBR089C-A,0,4,3,1
YBR089W,0,0,0,0
YBR090C,3,0,0,0
YBR091C,0,0,0,0
YBR092C,100,100,100,97
YBR093C,100,100,98,80
YBR094W,0,2,1,0
YBR095C,0,0,0,0
YBR096W,2,1,1,0
YBR097W,0,0,0,0
YBR098W,1,0,0,2
YBR099C,0,0,0,0
YBR101C,0,1,0,0
YBR102C,0,0,0,0
YBR103C-A,0,0,0,0
YBR103W,7,11,5,12
YBR104W,11,3,6,0
YBR105C,5,0,1,0
YBR106W,0,0,0,0
YBR107C,0,0,0,0
YBR108W,0,0,0,0
YBR109C,1,1,4,2
YBR109W-A,14,10,12,12
YBR110W,0,0,0,0
YBR111C,4,3,1,0
YBR111W-A,1,1,2,1
YBR112C,6,2,1,8
YBR113W,0,4,5,3
YBR114W,9,0,0,1
YBR115C,8,4,7,11
YBR116C,0,0,0,0
YBR117C,4,1,0,1
YBR118W,41,2,4,1
YBR119W,0,0,0,0
YBR120C,0,0,0,0
YBR121C,20,11,24,12
YBR121C-A,0,0,0,0
YBR122C,0,0,0,0
YBR123C,7,0,0,0
YBR124W,0,0,0,0
YBR125C,0,0,2,2
YBR126C,1,0,0,0
YBR126W-A,0,0,0,0
YBR126W-B,0,1,0,0
YBR127C,5,0,0,1
YBR128C,0,0,0,0
YBR129C,0,0,0,0
YBR130C,0,0,0,0
YBR131C-A,0,0,0,0
YBR131W,0,0,0,0
YBR132C,0,0,0,0
YBR133C,0,1,5,1
YBR134W,0,0,0,0
YBR135W,14,0,0,0
YBR136W,7,0,0,9
YBR137W,0,2,0,0
YBR138C,1,0,1,0
YBR139W,0,0,0,0
YBR140C,0,0,0,0
YBR141C,0,0,0,0
YBR141W-A,0,0,0,0
YBR142W,0,22,6,2
YBR143C,12,20,28,15
YBR144C,0,0,0,0
YBR145W,1,0,0,0
YBR146W,17,49,38,45
YBR147W,0,2,0,0
