,locus_name,FC0_bayexpress,FC1_bayexpress,FC2_bayexpress,FC0_edgeR,FC1_edgeR,FC2_edgeR,FC0_DESeq2,FC1_DESeq2,FC2_DESeq2
0,15S_rRNA,False,False,False,,,,False,False,False
1,21S_rRNA,False,False,False,False,False,False,False,False,False
2,HRA1,False,False,False,,,,True,False,False
3,ICR1,True,False,False,True,False,False,True,False,False
4,LSR1,False,False,False,False,False,False,False,False,False
5,NME1,False,False,False,False,False,False,False,False,False
6,PWR1,False,False,False,,,,,,
7,Q0010,False,False,False,,,,,,
8,Q0017,False,False,False,,,,,,
9,Q0032,False,False,False,,,,,,
10,Q0045,False,False,False,,,,False,False,False
11,Q0050,False,False,False,,,,False,False,False
12,Q0055,False,False,False,,,,False,False,False
13,Q0060,False,False,False,,,,False,False,False
14,Q0065,False,False,False,,,,False,False,False
15,Q0070,False,False,False,,,,False,False,False
16,Q0075,False,False,False,,,,False,False,False
17,Q0080,False,False,False,,,,,,
18,Q0085,False,False,False,,,,False,False,False
19,Q0092,False,False,False,,,,,,
20,Q0105,False,False,False,,,,False,False,False
21,Q0110,False,False,False,,,,False,False,False
22,Q0115,False,False,False,,,,,,
23,Q0120,False,False,False,,,,False,False,False
24,Q0130,False,False,False,,,,False,False,False
25,Q0140,False,False,False,,,,,,
26,Q0142,False,False,False,,,,,,
27,Q0143,False,False,False,,,,,,
28,Q0144,False,False,False,,,,,,
29,Q0160,False,False,False,,,,False,False,False
30,Q0182,False,False,False,,,,,,
31,Q0250,False,False,False,,,,False,False,False
32,Q0255,False,False,False,,,,False,False,False
33,Q0275,False,False,False,,,,False,False,False
34,Q0297,False,False,False,,,,,,
35,RDN18-1,False,False,False,,,,,,
36,RDN18-2,False,False,False,,,,,,
37,RDN25-1,False,False,False,,,,,,
38,RDN25-2,False,False,False,,,,,,
39,RDN37-1,False,False,False,,,,,,
40,RDN37-2,False,False,False,,,,,,
41,RDN5-1,True,False,False,False,False,False,False,False,False
42,RDN5-2,False,False,False,,,,False,False,False
43,RDN5-3,False,False,False,,,,,,
44,RDN5-4,False,False,False,,,,,,
45,RDN5-5,False,False,False,,,,,,
46,RDN5-6,True,False,False,False,False,False,False,False,False
47,RDN58-1,False,False,False,,,,,,
48,RDN58-2,False,False,False,,,,,,
49,RNA170,True,False,False,True,False,False,True,False,False
50,RPM1,False,False,False,,,,,,
51,RPR1,True,False,False,True,True,False,True,True,False
52,RUF20,True,False,False,False,False,False,False,False,False
53,RUF21,True,False,False,,,,False,False,False
54,RUF22,False,False,False,,,,False,False,False
55,RUF23,True,False,False,,,,True,False,False
56,RUF5-1,False,False,False,False,False,False,False,False,False
57,RUF5-2,False,False,False,False,False,False,False,False,False
58,SCR1,True,False,False,False,False,False,False,False,False
59,SRG1,True,False,False,True,True,False,True,True,False
60,TLC1,True,False,False,True,False,False,True,False,False
61,YAL001C,True,False,False,True,False,False,True,False,False
62,YAL002W,True,False,False,True,False,False,True,False,False
63,YAL003W,True,False,False,True,False,False,True,False,False
64,YAL004W,False,False,False,,,,,,
65,YAL005C,True,False,False,True,False,False,True,False,False
66,YAL007C,True,False,False,True,False,False,True,False,False
67,YAL008W,True,False,False,True,False,False,True,False,False
68,YAL009W,True,False,False,True,False,False,True,False,False
69,YAL010C,True,False,False,True,False,False,False,False,False
70,YAL011W,True,False,False,True,False,False,True,False,False
71,YAL012W,True,False,False,True,False,False,True,False,False
72,YAL013W,True,False,False,True,False,False,True,False,False
73,YAL014C,True,False,False,True,False,False,True,False,False
74,YAL015C,True,False,False,True,False,False,True,False,False
75,YAL016C-A,False,False,False,True,False,False,True,False,False
76,YAL016C-B,True,True,False,True,False,False,True,False,False
77,YAL016W,True,False,False,False,False,False,False,False,False
78,YAL017W,True,False,False,False,False,False,False,False,False
79,YAL018C,False,False,False,,,,False,False,False
80,YAL019W,True,False,False,True,False,False,True,False,False
