"Gene > Systematic Name","Gene > Length","Gene > Transcripts > Length","Gene > Name"
"YAL002W","3825","4080","Vacuolar Protein Sorting"
"YAL003W","987","1027","Elongation Factor Beta"
"YAL003W","987","1033","Elongation Factor Beta"
"YAL003W","987","1039","Elongation Factor Beta"
"YAL003W","987","1045","Elongation Factor Beta"
"YAL003W","987","1047","Elongation Factor Beta"
"YAL003W","987","1047","Elongation Factor Beta"
"YAL003W","987","1053","Elongation Factor Beta"
"YAL003W","987","1054","Elongation Factor Beta"
"YAL003W","987","1057","Elongation Factor Beta"
"YAL003W","987","1059","Elongation Factor Beta"
"YAL003W","987","1060","Elongation Factor Beta"
"YAL003W","987","1061","Elongation Factor Beta"
"YAL003W","987","1063","Elongation Factor Beta"
"YAL003W","987","1065","Elongation Factor Beta"
"YAL003W","987","1071","Elongation Factor Beta"
"YAL003W","987","1073","Elongation Factor Beta"
"YAL003W","987","1078","Elongation Factor Beta"
"YAL003W","987","1078","Elongation Factor Beta"
"YAL003W","987","1083","Elongation Factor Beta"
"YAL003W","987","1084","Elongation Factor Beta"
"YAL003W","987","1092","Elongation Factor Beta"
"YAL003W","987","1102","Elongation Factor Beta"
"YAL003W","987","1144","Elongation Factor Beta"
"YAL003W","987","1151","Elongation Factor Beta"
"YAL003W","987","1158","Elongation Factor Beta"
"YAL003W","987","1163","Elongation Factor Beta"
"YAL003W","987","1170","Elongation Factor Beta"
"YAL003W","987","1202","Elongation Factor Beta"
"YAL003W","987","1207","Elongation Factor Beta"
"YAL003W","987","1208","Elongation Factor Beta"
"YAL003W","987","1210","Elongation Factor Beta"
"YAL003W","987","1216","Elongation Factor Beta"
"YAL003W","987","1221","Elongation Factor Beta"
"YAL003W","987","1223","Elongation Factor Beta"
"YAL003W","987","1228","Elongation Factor Beta"
"YAL003W","987","1228","Elongation Factor Beta"
"YAL003W","987","1233","Elongation Factor Beta"
"YAL003W","987","1247","Elongation Factor Beta"
"YAL003W","987","1252","Elongation Factor Beta"
"YAL003W","987","1355","Elongation Factor Beta"
"YAL003W","987","1427","Elongation Factor Beta"
"YAL004W","648","3355",""
"YAL004W","648","4491",""
"YAL005C","1929","2103","Stress-Seventy subfamily A"
"YAL005C","1929","2108","Stress-Seventy subfamily A"
"YAL005C","1929","2114","Stress-Seventy subfamily A"
"YAL005C","1929","2119","Stress-Seventy subfamily A"
"YAL005C","1929","2119","Stress-Seventy subfamily A"
"YAL005C","1929","2124","Stress-Seventy subfamily A"
"YAL005C","1929","2131","Stress-Seventy subfamily A"
"YAL005C","1929","2303","Stress-Seventy subfamily A"
"YAL005C","1929","2321","Stress-Seventy subfamily A"
"YAL007C","648","841","Emp24p/Erv25p Related Protein"
"YAL007C","648","847","Emp24p/Erv25p Related Protein"
"YAL007C","648","847","Emp24p/Erv25p Related Protein"
"YAL007C","648","853","Emp24p/Erv25p Related Protein"
"YAL007C","648","1006","Emp24p/Erv25p Related Protein"
"YAL007C","648","1040","Emp24p/Erv25p Related Protein"
"YAL008W","597","758","Function Unknown Now"
"YAL008W","597","764","Function Unknown Now"
"YAL008W","597","766","Function Unknown Now"
"YAL008W","597","769","Function Unknown Now"
"YAL008W","597","772","Function Unknown Now"
"YAL008W","597","772","Function Unknown Now"
"YAL008W","597","777","Function Unknown Now"
"YAL008W","597","778","Function Unknown Now"
"YAL008W","597","783","Function Unknown Now"
"YAL008W","597","788","Function Unknown Now"
"YAL008W","597","794","Function Unknown Now"
"YAL008W","597","799","Function Unknown Now"
"YAL008W","597","799","Function Unknown Now"
"YAL008W","597","823","Function Unknown Now"
"YAL008W","597","828","Function Unknown Now"
"YAL008W","597","903","Function Unknown Now"
"YAL008W","597","1206","Function Unknown Now"
"YAL009W","780","965","SPOrulation"
"YAL009W","780","1358","SPOrulation"
"YAL010C","1482","1601","Mitochondrial Distribution and Morphology"
"YAL010C","1482","1606","Mitochondrial Distribution and Morphology"
"YAL010C","1482","1624","Mitochondrial Distribution and Morphology"
"YAL010C","1482","1668","Mitochondrial Distribution and Morphology"
"YAL010C","1482","1687","Mitochondrial Distribution and Morphology"
"YAL011W","1878","1979","SWr Complex"
"YAL011W","1878","2015","SWr Complex"
"YAL011W","1878","2041","SWr Complex"
"YAL012W","1185","1333","CYStathionine gamma-lyase"
"YAL012W","1185","1338","CYStathionine gamma-lyase"
"YAL012W","1185","1339","CYStathionine gamma-lyase"
"YAL012W","1185","1344","CYStathionine gamma-lyase"
"YAL012W","1185","1348","CYStathionine gamma-lyase"
"YAL012W","1185","1353","CYStathionine gamma-lyase"
"YAL012W","1185","1354","CYStathionine gamma-lyase"
"YAL012W","1185","1382","CYStathionine gamma-lyase"
"YAL012W","1185","1387","CYStathionine gamma-lyase"
"YAL012W","1185","1389","CYStathionine gamma-lyase"
"YAL012W","1185","1414","CYStathionine gamma-lyase"
"YAL012W","1185","1646","CYStathionine gamma-lyase"
"YAL013W","1218","1380","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis"
"YAL013W","1218","1389","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis"
"YAL014C","768","1011","SYNtaxin"
"YAL014C","768","1041","SYNtaxin"
"YAL015C","1200","1352","eNdonuclease Three-like Glycosylase"
"YAL015C","1200","1354","eNdonuclease Three-like Glycosylase"
"YAL016W","1908","2057","tRNA Processing Deficient"
"YAL016W","1908","2063","tRNA Processing Deficient"
"YAL016W","1908","2073","tRNA Processing Deficient"
"YAL016W","1908","2079","tRNA Processing Deficient"
"YAL016W","1908","2084","tRNA Processing Deficient"
"YAL016W","1908","2094","tRNA Processing Deficient"
"YAL016W","1908","2097","tRNA Processing Deficient"
"YAL018C","978","1165","Lipid Droplets in Sporulation"
"YAL019W","3396","3575","Function Unknown Now"
"YAL020C","1002","1135","Alpha Tubulin Suppressor"
"YAL020C","1002","1156","Alpha Tubulin Suppressor"
